speaker,traj,gender,decade,word,freq,preceding,stress,following,foll.broad.f2,foll.broad.f3,position,preceding.height,preceding.front,duration,measurement.no,trans,exclude,comment,f1,f2,f3,avg.f1,avg.f2,avg.f3,rand.f1,rand.f2,rand.f3,freq.log
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,0,i,,,357.653480416,1713.30200878,3013.33333333,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,1,i,,,358.780620441,1746.27138561,2986.66666667,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,2,i,,,361.556029628,1720.81773622,2960,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,3,i,,,343.26853958,1672.97386669,2853.33333333,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,4,i,,,327.187670167,1662.92767905,2853.33333333,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,5,i,,,373.333333333,1605.13379451,2855.15273262,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,6,i,,,373.333333333,1643.46592283,2893.33333333,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,7,i,,,373.333333333,1603.45914853,2873.14725673,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,8,i,,,373.333333333,1661.55188353,2826.66666667,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
00-O-f01,0001-00-O-f01-mw74__16.701-19.469.wav,F,2000,there,48402,@,schwa,w,labial,labial,m,1,1,0.083903445,9,i,,,397.621045799,1638.37544888,2826.66666667,521.5953565505804,1785.7446102819238,2872.665008291874,13.591112610287482,172.18505562690572,307.9398817116196,10.7873170742549
