speaker number,speaker code,advanced tip/blade,tongue body height,tongue body front-backness,RTR,nasalization,whispery,sounds?
8,70-O-f01,2,-2,-2,1,0.5,,elderly
6,70-O-f03,1,1,1,,1.5,,elderly
10,70-O-f04,2,-2,-2,,3,1,elderly
3,70-O-m03,2,-1,-2,,2.5,,elderly
4,70-O-m04,2,-2.5,-2.5,1,1,,elderly
16,70-O-m05,1,-2.5,-2.5,2,2,,very elderly
17,80-O-f02,1,-1,-1,0.5,1,,shifts
7,80-O-f03,2.5,1,-1,0.5,2.5,,old
1,80-O-f04,1,-2,-2,0.5,1,1,
5,80-O-m01,1,-1,-1,,,3,very elderly
23,80-O-m04,2.5,-2,-2,1,2,,elderly 
15,80-O-m05,1,-2.5,-2.5,,1.5,,typical Gla male
13,90-O-f01,2,2,-2,2,,,more modern
18,90-O-f02,2,-1,-1,0.5,2.5,,
9,90-O-f04,,-1,-1,0.5,3,,elderly
12,90-O-m04,2.5,-2,-2,1,1,,elderly
24,90-O-m02,1.5,-1,-1,0.5,,,very elderly
20,90-O-m05,2,-1,-2,1,1,,more modern
2,00-O-f01,2,1,-2,,1.5,,sounds 'modern'
14,00-O-f03,1.5,-2,-2,,1,,feminine - quite modernish
22,00-O-f04,1,1,-2,1,,,more modern
11,00-O-m01,1,2,-2,,,,modernish - shifts 
19,00-O-m05,1,-2,-2,1,1,,typical Gla male
21,00-O-m06,1,-2,-2,1,1.5,,more traditional 
