Speaker,gender,Target.stress,Target.CELEX.phonemes,Target.orthography,Match.segments,Target.segments,Target.segments.start,Target.segments.end,time_0.5,vowel,preceding,following,decade,decade.fact,duration,f1,f2,f3
00-O-f01,F,'ruf,ruf,roof,ruf,u,766.652,766.742,766.697,boot,r,f,00,00,0.08999999999991815,413,1803,2361
00-O-f01,F,'rum,rum,room,rum,u,2001.572,2001.622,2001.597,boot,r,m,00,00,0.0500000000001819,417,2007,2657
00-O-f03,F,'mun,mun,moon,mun,u,1406.162,1406.212,1406.187,boot,m,n,00,00,0.049999999999954525,492,1191,2742
00-O-f03,F,'buz,buz,booze,buz,u,1463.307,1463.617,1463.462,boot,b,z,00,00,0.30999999999994543,402,1893,2576
00-O-f03,F,'rum,rum,room,rum,u,2094.261,2094.291,2094.276,boot,r,m,00,00,0.03000000000020009,428,1507,2754
00-O-f03,F,'but,but,boot,but,u,2151.765,2151.895,2151.83,boot,b,t,00,00,0.13000000000010914,389,1888,2580
00-O-f04,F,'_uz,_uz,jews,_uz,u,645.435,645.645,645.54,boot,_,z,00,00,0.21000000000003638,382,2187,2728
00-O-f04,F,'_uz,_uz,jews,_uz,u,658.72,658.91,658.815,boot,_,z,00,00,0.18999999999994088,390,1973,2998
00-O-f04,F,'muv,muv,move,muv,u,1344.589,1344.709,1344.649,boot,m,v,00,00,0.12000000000011823,445,1887,2750
00-O-f04,F,'muv,muv,move,muv,u,1498.294,1498.434,1498.364,boot,m,v,00,00,0.13999999999987267,426,2203,2903
00-O-f04,F,'muvd,muvd,moved,muvd,u,1817.016,1817.156,1817.086,boot,m,v,00,00,0.13999999999987267,402,2013,2782
00-O-f04,F,'hus,hus,hoose,hus,u,2131.199,2131.269,2131.234,boot,h,s,00,00,0.06999999999970896,450,2084,2849
00-O-f04,F,'frut,frut,fruit,frut,u,2180.019,2180.099,2180.059,boot,r,t,00,00,0.08000000000038199,394,1995,2639
00-O-f04,F,'frut,frut,fruit,frut,u,2184.502,2184.572,2184.537,boot,r,t,00,00,0.07000000000016371,388,2136,2874
00-O-f04,F,'muvd,muvd,moved,muvd,u,2237.807,2237.907,2237.857,boot,m,v,00,00,0.1000000000003638,530,1915,2915
00-O-f04,F,'hus,hus,hoose,hus,u,2405.061,2405.101,2405.081,boot,h,s,00,00,0.03999999999996362,382,2003,2955
00-O-f04,F,'hus,hus,hoose,hus,u,2685.943,2686.003,2685.973,boot,h,s,00,00,0.05999999999994543,456,1902,3028
00-O-f04,F,'rund,rund,roond,rund,u,2745.457,2745.517,2745.487,boot,r,n,00,00,0.05999999999994543,459,2020,2801
00-O-m01,M,'skrud,skrud,screwed,skrud,u,95.945,96.025,95.985,boot,r,d,00,00,0.0800000000000125,347,1776,2596
00-O-m01,M,'jus,jus,use,jus,u,270.083,270.163,270.123,boot,j,s,00,00,0.07999999999998408,350,1825,2244
00-O-m01,M,'buts,buts,boots,buts,u,469.453,469.483,469.468,boot,b,t,00,00,0.03000000000002956,425,1440,2544
00-O-m01,M,'Suz,Suz,shoes,Suz,u,472.854,472.904,472.879,boot,S,z,00,00,0.05000000000001137,317,1985,2441
00-O-m01,M,'jus,jus,use,jus,u,544.444,544.524,544.484,boot,j,s,00,00,0.08000000000004093,329,1516,2227
00-O-m01,M,'rum,rum,room,rum,u,644.681,644.751,644.716,boot,r,m,00,00,0.06999999999993634,425,1468,2369
00-O-m01,M,'rum,rum,room,rum,u,647.657,647.707,647.682,boot,r,m,00,00,0.049999999999954525,364,1352,2338
00-O-m01,M,'rum,rum,room,rum,u,657.894,657.924,657.909,boot,r,m,00,00,0.029999999999972715,330,1427,2346
00-O-m01,M,'spun,spunfUl,spoonful,spunfUl,u,723.367,723.417,723.392,boot,p,n,00,00,0.05000000000006821,406,1823,2550
00-O-m01,M,'grun,grun,groon,grun,u,1337.865,1337.965,1337.915,boot,r,n,00,00,0.09999999999990905,383,1764,2498
00-O-m01,M,'but,but,boot,but,u,1680.393,1680.473,1680.433,boot,b,t,00,00,0.07999999999992724,377,1729,2481
00-O-m01,M,'fud,fud,food,fud,u,1714.669,1714.769,1714.719,boot,f,d,00,00,0.09999999999990905,360,1690,2502
00-O-m01,M,'fud,fud,food,fud,u,1715.717,1715.827,1715.772,boot,f,d,00,00,0.10999999999989996,395,1681,2516
00-O-m01,M,'hum,hum,whom,hum,u,1835.298,1835.338,1835.318,boot,h,m,00,00,0.03999999999996362,415,1688,2609
00-O-m01,M,'gruvz,gruvz,grooves,gruvz,u,1856.064,1856.184,1856.124,boot,r,v,00,00,0.11999999999989086,401,1597,2365
00-O-m01,M,'Suts,Suts,chutes,Suts,u,1866.754,1866.814,1866.784,boot,S,t,00,00,0.060000000000172804,388,1852,2337
00-O-m01,M,'fjumz,fjumz,fumes,fjumz,u,1944.184,1944.304,1944.244,boot,j,m,00,00,0.12000000000011823,386,1855,2371
00-O-m01,M,'rufs,rufs,roofs,rufs,u,2438.941,2438.991,2438.966,boot,r,f,00,00,0.0500000000001819,372,1557,2292
00-O-m01,M,'trups,trups,troops,trups,u,2698.227,2698.277,2698.252,boot,r,p,00,00,0.0500000000001819,422,1619,2390
